0 11
 1 17
 2 13
 3 17
 4 14
 5 17
 6 20
 7 14
 8 12
 9 11
 10 16
 11 16
 12 22
 13 25
 14 18
 15 14
 16 19
 17 22
 18 18
 19 23
 20 20
 21 25
 22 22
 23 12
 24 17
 25 24
 26 21
 27 22
 28 27
 29 26
 30 30
 31 33
 32 18
 33 27
 34 15
 35 29
 36 37
 37 26
 38 25
 39 33
 40 26
 41 27
 42 27
 43 20
 44 24
 45 24
 46 25
 47 22
 48 28
 49 27
 50 30
 51 24
 52 29
 53 20
 54 23
 55 29
 56 25
 57 26
 58 19
 59 25
 60 13
 61 29
 62 18
 63 19
 64 25
 65 22
 66 24
 67 16
 68 19
 69 18
 70 16
 71 20
 72 17
 73 18
 74 22
 75 16
 76 17
 77 16
 78 17
 79 21
 80 13
 81 19
 82 19
 83 14
 84 16
 85 15
 86 15
 87 13
 88 20
 89 13
 90 13
 91 9
 92 11
 93 21
 94 18
 95 14
 96 12
 97 20
 98 16
 99 14
 
