0 100
 1 88
 2 76
 3 33
 4 50
 5 74
 6 8
 7 10
 8 78
 9 106
 10 54
 11 47
 12 124
 13 7
 14 111
 15 205
 16 119
 17 49
 18 19
 19 68
 20 0
 21 10
 22 2
 23 0
 24 0
 25 0
 26 0
 27 0
 28 0
 29 0
 30 0
 31 0
 32 0
 33 0
 34 0
 35 0
 36 0
 37 0
 38 0
 39 0
 40 0
 41 0
 42 0
 43 0
 44 0
 45 0
 46 0
 47 0
 48 0
 49 1
 50 0
 51 0
 52 0
 53 0
 54 0
 55 0
 56 0
 57 0
 58 0
 59 0
 60 0
 61 0
 62 0
 63 0
 64 0
 65 7
 66 10
 67 14
 68 8
 69 9
 70 20
 71 6
 72 2
 73 8
 74 2
 75 1
 76 9
 77 9
 78 5
 79 3
 80 15
 81 2
 82 11
 83 21
 84 16
 85 0
 86 1
 87 6
 88 0
 89 0
 90 0
 91 0
 92 0
 93 0
 94 0
 95 0
 96 0
 97 138
 98 78
 99 176
 
