0 0
 1 3
 2 1
 3 3
 4 5
 5 1
 6 6
 7 4
 8 1
 9 3
 10 1
 11 0
 12 5
 13 3
 14 1
 15 2
 16 2
 17 6
 18 4
 19 5
 20 5
 21 6
 22 6
 23 2
 24 5
 25 7
 26 4
 27 4
 28 2
 29 6
 30 5
 31 5
 32 1
 33 2
 34 6
 35 10
 36 7
 37 4
 38 5
 39 8
 40 4
 41 7
 42 7
 43 5
 44 4
 45 5
 46 5
 47 8
 48 4
 49 7
 50 7
 51 4
 52 6
 53 6
 54 3
 55 5
 56 4
 57 8
 58 7
 59 7
 60 0
 61 5
 62 3
 63 3
 64 0
 65 8
 66 2
 67 1
 68 2
 69 5
 70 2
 71 3
 72 7
 73 1
 74 2
 75 2
 76 1
 77 2
 78 3
 79 7
 80 2
 81 2
 82 1
 83 2
 84 2
 85 0
 86 4
 87 0
 88 8
 89 3
 90 1
 91 2
 92 2
 93 1
 94 2
 95 1
 96 2
 97 2
 98 3
 99 3
 
