0 22
 1 13
 2 16
 3 20
 4 26
 5 12
 6 17
 7 21
 8 27
 9 8
 10 14
 11 19
 12 23
 13 15
 14 21
 15 22
 16 22
 17 18
 18 15
 19 18
 20 24
 21 9
 22 8
 23 15
 24 36
 25 12
 26 9
 27 20
 28 23
 29 14
 30 17
 31 19
 32 26
 33 14
 34 20
 35 15
 36 25
 37 13
 38 29
 39 20
 40 26
 41 16
 42 21
 43 23
 44 12
 45 15
 46 12
 47 19
 48 26
 49 10
 50 25
 51 18
 52 37
 53 51
 54 13
 55 29
 56 23
 57 10
 58 13
 59 10
 60 27
 61 14
 62 12
 63 16
 64 26
 65 18
 66 27
 67 18
 68 22
 69 16
 70 24
 71 15
 72 18
 73 19
 74 11
 75 17
 76 41
 77 13
 78 34
 79 19
 80 24
 81 12
 82 14
 83 16
 84 43
 85 15
 86 23
 87 9
 88 40
 89 16
 90 25
 91 30
 92 28
 93 12
 94 12
 95 27
 96 30
 97 17
 98 19
 99 27
 
