0 19
 1 17
 2 26
 3 13
 4 24
 5 22
 6 19
 7 10
 8 15
 9 28
 10 25
 11 23
 12 22
 13 19
 14 24
 15 16
 16 15
 17 14
 18 19
 19 20
 20 20
 21 26
 22 18
 23 17
 24 17
 25 18
 26 14
 27 16
 28 19
 29 24
 30 19
 31 22
 32 19
 33 22
 34 22
 35 24
 36 19
 37 24
 38 23
 39 32
 40 25
 41 25
 42 23
 43 20
 44 24
 45 22
 46 15
 47 22
 48 20
 49 15
 50 24
 51 13
 52 21
 53 17
 54 23
 55 33
 56 25
 57 22
 58 25
 59 17
 60 20
 61 27
 62 14
 63 15
 64 21
 65 16
 66 16
 67 11
 68 23
 69 21
 70 16
 71 14
 72 21
 73 13
 74 17
 75 22
 76 21
 77 22
 78 18
 79 22
 80 20
 81 14
 82 24
 83 21
 84 17
 85 22
 86 19
 87 18
 88 18
 89 21
 90 16
 91 28
 92 17
 93 27
 94 16
 95 18
 96 11
 97 17
 98 22
 99 20
 
